Account_ID,Account_Name,Category,Month,Debit,Credit
10000,Cash,Assets,2024-01,19352.47,0.0
11000,Accounts Receivable,Assets,2024-01,47585.0,0.0
12000,Inventory,Assets,2024-01,36867.7,0.0
13000,Prepaid Expenses,Assets,2024-01,30334.27,0.0
14000,Fixed Assets,Assets,2024-01,8644.91,0.0
15000,Accounts Payable,Liabilities,2024-01,0.0,8643.73
16000,Accrued Expenses,Liabilities,2024-01,0.0,3846.1
17000,Short-Term Debt,Liabilities,2024-01,0.0,43442.63
18000,Long-Term Debt,Liabilities,2024-01,0.0,30454.64
19000,Common Stock,Equity,2024-01,0.0,35695.56
20000,Retained Earnings,Equity,2024-01,0.0,2008.64
21000,Sales Revenue,Revenue,2024-01,0.0,48525.58
22000,Service Revenue,Revenue,2024-01,0.0,41789.69
23000,Interest Income,Revenue,2024-01,0.0,11404.62
24000,Other Income,Revenue,2024-01,0.0,9909.42
25000,Salaries Expense,Expense,2024-01,0.0,0.0
26000,Rent Expense,Expense,2024-01,0.0,0.0
27000,Utilities Expense,Expense,2024-01,0.0,0.0
28000,Supplies Expense,Expense,2024-01,0.0,0.0
29000,Insurance Expense,Expense,2024-01,0.0,0.0
30000,Depreciation Expense,Expense,2024-01,0.0,0.0
31000,Marketing Expense,Expense,2024-01,0.0,0.0
10000,Cash,Assets,2024-02,9986.82,0.0
11000,Accounts Receivable,Assets,2024-02,15907.87,0.0
12000,Inventory,Assets,2024-02,26713.07,0.0
13000,Prepaid Expenses,Assets,2024-02,22165.31,0.0
14000,Fixed Assets,Assets,2024-02,15270.23,0.0
15000,Accounts Payable,Liabilities,2024-02,0.0,30980.79
16000,Accrued Expenses,Liabilities,2024-02,0.0,7835.2
17000,Short-Term Debt,Liabilities,2024-02,0.0,15315.09
18000,Long-Term Debt,Liabilities,2024-02,0.0,18951.73
19000,Common Stock,Equity,2024-02,0.0,23347.43
20000,Retained Earnings,Equity,2024-02,0.0,39473.62
21000,Sales Revenue,Revenue,2024-02,0.0,10784.02
22000,Service Revenue,Revenue,2024-02,0.0,26197.49
23000,Interest Income,Revenue,2024-02,0.0,30028.31
24000,Other Income,Revenue,2024-02,0.0,3276.07
25000,Salaries Expense,Expense,2024-02,0.0,0.0
26000,Rent Expense,Expense,2024-02,0.0,0.0
27000,Utilities Expense,Expense,2024-02,0.0,0.0
28000,Supplies Expense,Expense,2024-02,0.0,0.0
29000,Insurance Expense,Expense,2024-02,0.0,0.0
30000,Depreciation Expense,Expense,2024-02,0.0,0.0
31000,Marketing Expense,Expense,2024-02,0.0,0.0
10000,Cash,Assets,2024-03,30769.7,0.0
11000,Accounts Receivable,Assets,2024-03,9355.68,0.0
12000,Inventory,Assets,2024-03,4187.53,0.0
13000,Prepaid Expenses,Assets,2024-03,47495.39,0.0
14000,Fixed Assets,Assets,2024-03,48315.97,0.0
15000,Accounts Payable,Liabilities,2024-03,0.0,40611.47
16000,Accrued Expenses,Liabilities,2024-03,0.0,15926.07
17000,Short-Term Debt,Liabilities,2024-03,0.0,5785.93
18000,Long-Term Debt,Liabilities,2024-03,0.0,34527.42
19000,Common Stock,Equity,2024-03,0.0,22567.47
20000,Retained Earnings,Equity,2024-03,0.0,6979.87
21000,Sales Revenue,Revenue,2024-03,0.0,25263.67
22000,Service Revenue,Revenue,2024-03,0.0,2685.04
23000,Interest Income,Revenue,2024-03,0.0,45556.7
24000,Other Income,Revenue,2024-03,0.0,13680.22
25000,Salaries Expense,Expense,2024-03,0.0,0.0
26000,Rent Expense,Expense,2024-03,0.0,0.0
27000,Utilities Expense,Expense,2024-03,0.0,0.0
28000,Supplies Expense,Expense,2024-03,0.0,0.0
29000,Insurance Expense,Expense,2024-03,0.0,0.0
30000,Depreciation Expense,Expense,2024-03,0.0,0.0
31000,Marketing Expense,Expense,2024-03,0.0,0.0
10000,Cash,Assets,2024-04,33463.59,0.0
11000,Accounts Receivable,Assets,2024-04,16273.84,0.0
12000,Inventory,Assets,2024-04,26483.33,0.0
13000,Prepaid Expenses,Assets,2024-04,27788.8,0.0
14000,Fixed Assets,Assets,2024-04,10057.87,0.0
15000,Accounts Payable,Liabilities,2024-04,0.0,48509.65
16000,Accrued Expenses,Liabilities,2024-04,0.0,38981.51
17000,Short-Term Debt,Liabilities,2024-04,0.0,47035.45
18000,Long-Term Debt,Liabilities,2024-04,0.0,44846.54
19000,Common Stock,Equity,2024-04,0.0,30297.1
20000,Retained Earnings,Equity,2024-04,0.0,46171.84
21000,Sales Revenue,Revenue,2024-04,0.0,5336.13
22000,Service Revenue,Revenue,2024-04,0.0,10603.16
23000,Interest Income,Revenue,2024-04,0.0,3216.14
24000,Other Income,Revenue,2024-04,0.0,16941.19
25000,Salaries Expense,Expense,2024-04,0.0,0.0
26000,Rent Expense,Expense,2024-04,0.0,0.0
27000,Utilities Expense,Expense,2024-04,0.0,0.0
28000,Supplies Expense,Expense,2024-04,0.0,0.0
29000,Insurance Expense,Expense,2024-04,0.0,0.0
30000,Depreciation Expense,Expense,2024-04,0.0,0.0
31000,Marketing Expense,Expense,2024-04,0.0,0.0
10000,Cash,Assets,2024-05,20045.19,0.0
11000,Accounts Receivable,Assets,2024-05,14296.1,0.0
12000,Inventory,Assets,2024-05,41608.14,0.0
13000,Prepaid Expenses,Assets,2024-05,18480.91,0.0
14000,Fixed Assets,Assets,2024-05,14765.79,0.0
15000,Accounts Payable,Liabilities,2024-05,0.0,27592.11
16000,Accrued Expenses,Liabilities,2024-05,0.0,7905.29
17000,Short-Term Debt,Liabilities,2024-05,0.0,40307.65
18000,Long-Term Debt,Liabilities,2024-05,0.0,4652.98
19000,Common Stock,Equity,2024-05,0.0,49357.46
20000,Retained Earnings,Equity,2024-05,0.0,38839.99
21000,Sales Revenue,Revenue,2024-05,0.0,10737.07
22000,Service Revenue,Revenue,2024-05,0.0,1270.58
23000,Interest Income,Revenue,2024-05,0.0,40957.61
24000,Other Income,Revenue,2024-05,0.0,35636.01
25000,Salaries Expense,Expense,2024-05,0.0,0.0
26000,Rent Expense,Expense,2024-05,0.0,0.0
27000,Utilities Expense,Expense,2024-05,0.0,0.0
28000,Supplies Expense,Expense,2024-05,0.0,0.0
29000,Insurance Expense,Expense,2024-05,0.0,0.0
30000,Depreciation Expense,Expense,2024-05,0.0,0.0
31000,Marketing Expense,Expense,2024-05,0.0,0.0
10000,Cash,Assets,2024-06,36721.35,0.0
11000,Accounts Receivable,Assets,2024-06,38792.25,0.0
12000,Inventory,Assets,2024-06,4628.19,0.0
13000,Prepaid Expenses,Assets,2024-06,18564.82,0.0
14000,Fixed Assets,Assets,2024-06,6677.58,0.0
15000,Accounts Payable,Liabilities,2024-06,0.0,43292.07
16000,Accrued Expenses,Liabilities,2024-06,0.0,31541.61
17000,Short-Term Debt,Liabilities,2024-06,0.0,17214.0
18000,Long-Term Debt,Liabilities,2024-06,0.0,4114.36
19000,Common Stock,Equity,2024-06,0.0,16238.13
20000,Retained Earnings,Equity,2024-06,0.0,16933.98
21000,Sales Revenue,Revenue,2024-06,0.0,36750.7
22000,Service Revenue,Revenue,2024-06,0.0,32240.32
23000,Interest Income,Revenue,2024-06,0.0,44473.42
24000,Other Income,Revenue,2024-06,0.0,24138.53
25000,Salaries Expense,Expense,2024-06,0.0,0.0
26000,Rent Expense,Expense,2024-06,0.0,0.0
27000,Utilities Expense,Expense,2024-06,0.0,0.0
28000,Supplies Expense,Expense,2024-06,0.0,0.0
29000,Insurance Expense,Expense,2024-06,0.0,0.0
30000,Depreciation Expense,Expense,2024-06,0.0,0.0
31000,Marketing Expense,Expense,2024-06,0.0,0.0
10000,Cash,Assets,2024-07,6860.12,0.0
11000,Accounts Receivable,Assets,2024-07,35948.99,0.0
12000,Inventory,Assets,2024-07,38278.47,0.0
13000,Prepaid Expenses,Assets,2024-07,28502.58,0.0
14000,Fixed Assets,Assets,2024-07,38777.39,0.0
15000,Accounts Payable,Liabilities,2024-07,0.0,25195.98
16000,Accrued Expenses,Liabilities,2024-07,0.0,26613.91
17000,Short-Term Debt,Liabilities,2024-07,0.0,21949.51
18000,Long-Term Debt,Liabilities,2024-07,0.0,2245.54
19000,Common Stock,Equity,2024-07,0.0,6286.68
20000,Retained Earnings,Equity,2024-07,0.0,2540.03
21000,Sales Revenue,Revenue,2024-07,0.0,32184.11
22000,Service Revenue,Revenue,2024-07,0.0,16403.44
23000,Interest Income,Revenue,2024-07,0.0,25919.96
24000,Other Income,Revenue,2024-07,0.0,45470.76
25000,Salaries Expense,Expense,2024-07,0.0,0.0
26000,Rent Expense,Expense,2024-07,0.0,0.0
27000,Utilities Expense,Expense,2024-07,0.0,0.0
28000,Supplies Expense,Expense,2024-07,0.0,0.0
29000,Insurance Expense,Expense,2024-07,0.0,0.0
30000,Depreciation Expense,Expense,2024-07,0.0,0.0
31000,Marketing Expense,Expense,2024-07,0.0,0.0
10000,Cash,Assets,2024-08,13215.32,0.0
11000,Accounts Receivable,Assets,2024-08,21108.76,0.0
12000,Inventory,Assets,2024-08,38022.01,0.0
13000,Prepaid Expenses,Assets,2024-08,12211.11,0.0
14000,Fixed Assets,Assets,2024-08,4772.02,0.0
15000,Accounts Payable,Liabilities,2024-08,0.0,15197.82
16000,Accrued Expenses,Liabilities,2024-08,0.0,8899.84
17000,Short-Term Debt,Liabilities,2024-08,0.0,46555.18
18000,Long-Term Debt,Liabilities,2024-08,0.0,40597.9
19000,Common Stock,Equity,2024-08,0.0,32036.78
20000,Retained Earnings,Equity,2024-08,0.0,43701.57
21000,Sales Revenue,Revenue,2024-08,0.0,40379.93
22000,Service Revenue,Revenue,2024-08,0.0,10141.93
23000,Interest Income,Revenue,2024-08,0.0,44735.39
24000,Other Income,Revenue,2024-08,0.0,27427.77
25000,Salaries Expense,Expense,2024-08,0.0,0.0
26000,Rent Expense,Expense,2024-08,0.0,0.0
27000,Utilities Expense,Expense,2024-08,0.0,0.0
28000,Supplies Expense,Expense,2024-08,0.0,0.0
29000,Insurance Expense,Expense,2024-08,0.0,0.0
30000,Depreciation Expense,Expense,2024-08,0.0,0.0
31000,Marketing Expense,Expense,2024-08,0.0,0.0
10000,Cash,Assets,2024-09,40564.57,0.0
11000,Accounts Receivable,Assets,2024-09,44908.47,0.0
12000,Inventory,Assets,2024-09,16582.17,0.0
13000,Prepaid Expenses,Assets,2024-09,6392.54,0.0
14000,Fixed Assets,Assets,2024-09,12168.82,0.0
15000,Accounts Payable,Liabilities,2024-09,0.0,21928.28
16000,Accrued Expenses,Liabilities,2024-09,0.0,41082.72
17000,Short-Term Debt,Liabilities,2024-09,0.0,43175.8
18000,Long-Term Debt,Liabilities,2024-09,0.0,1340.65
19000,Common Stock,Equity,2024-09,0.0,26026.62
20000,Retained Earnings,Equity,2024-09,0.0,21453.14
21000,Sales Revenue,Revenue,2024-09,0.0,11883.28
22000,Service Revenue,Revenue,2024-09,0.0,6873.4
23000,Interest Income,Revenue,2024-09,0.0,17543.14
24000,Other Income,Revenue,2024-09,0.0,47202.58
25000,Salaries Expense,Expense,2024-09,0.0,0.0
26000,Rent Expense,Expense,2024-09,0.0,0.0
27000,Utilities Expense,Expense,2024-09,0.0,0.0
28000,Supplies Expense,Expense,2024-09,0.0,0.0
29000,Insurance Expense,Expense,2024-09,0.0,0.0
30000,Depreciation Expense,Expense,2024-09,0.0,0.0
31000,Marketing Expense,Expense,2024-09,0.0,0.0
10000,Cash,Assets,2024-10,16836.94,0.0
11000,Accounts Receivable,Assets,2024-10,26420.74,0.0
12000,Inventory,Assets,2024-10,35447.93,0.0
13000,Prepaid Expenses,Assets,2024-10,18817.85,0.0
14000,Fixed Assets,Assets,2024-10,48617.32,0.0
15000,Accounts Payable,Liabilities,2024-10,0.0,48159.92
16000,Accrued Expenses,Liabilities,2024-10,0.0,13337.33
17000,Short-Term Debt,Liabilities,2024-10,0.0,25365.18
18000,Long-Term Debt,Liabilities,2024-10,0.0,15743.04
19000,Common Stock,Equity,2024-10,0.0,14957.18
20000,Retained Earnings,Equity,2024-10,0.0,2807.46
21000,Sales Revenue,Revenue,2024-10,0.0,30868.65
22000,Service Revenue,Revenue,2024-10,0.0,25631.27
23000,Interest Income,Revenue,2024-10,0.0,3522.46
24000,Other Income,Revenue,2024-10,0.0,14653.68
25000,Salaries Expense,Expense,2024-10,0.0,0.0
26000,Rent Expense,Expense,2024-10,0.0,0.0
27000,Utilities Expense,Expense,2024-10,0.0,0.0
28000,Supplies Expense,Expense,2024-10,0.0,0.0
29000,Insurance Expense,Expense,2024-10,0.0,0.0
30000,Depreciation Expense,Expense,2024-10,0.0,0.0
31000,Marketing Expense,Expense,2024-10,0.0,0.0
10000,Cash,Assets,2024-11,45505.03,0.0
11000,Accounts Receivable,Assets,2024-11,12738.53,0.0
12000,Inventory,Assets,2024-11,8099.85,0.0
13000,Prepaid Expenses,Assets,2024-11,24983.19,0.0
14000,Fixed Assets,Assets,2024-11,49296.87,0.0
15000,Accounts Payable,Liabilities,2024-11,0.0,12860.71
16000,Accrued Expenses,Liabilities,2024-11,0.0,33934.64
17000,Short-Term Debt,Liabilities,2024-11,0.0,38319.36
18000,Long-Term Debt,Liabilities,2024-11,0.0,12644.24
19000,Common Stock,Equity,2024-11,0.0,36682.6
20000,Retained Earnings,Equity,2024-11,0.0,19021.37
21000,Sales Revenue,Revenue,2024-11,0.0,31982.99
22000,Service Revenue,Revenue,2024-11,0.0,32042.96
23000,Interest Income,Revenue,2024-11,0.0,27252.96
24000,Other Income,Revenue,2024-11,0.0,5424.2
25000,Salaries Expense,Expense,2024-11,0.0,0.0
26000,Rent Expense,Expense,2024-11,0.0,0.0
27000,Utilities Expense,Expense,2024-11,0.0,0.0
28000,Supplies Expense,Expense,2024-11,0.0,0.0
29000,Insurance Expense,Expense,2024-11,0.0,0.0
30000,Depreciation Expense,Expense,2024-11,0.0,0.0
31000,Marketing Expense,Expense,2024-11,0.0,0.0
10000,Cash,Assets,2024-12,41929.82,0.0
11000,Accounts Receivable,Assets,2024-12,16718.22,0.0
12000,Inventory,Assets,2024-12,10139.41,0.0
13000,Prepaid Expenses,Assets,2024-12,2997.98,0.0
14000,Fixed Assets,Assets,2024-12,29953.75,0.0
15000,Accounts Payable,Liabilities,2024-12,0.0,34200.65
16000,Accrued Expenses,Liabilities,2024-12,0.0,1812.8
17000,Short-Term Debt,Liabilities,2024-12,0.0,26092.56
18000,Long-Term Debt,Liabilities,2024-12,0.0,12098.29
19000,Common Stock,Equity,2024-12,0.0,32613.47
20000,Retained Earnings,Equity,2024-12,0.0,9543.96
21000,Sales Revenue,Revenue,2024-12,0.0,34855.95
22000,Service Revenue,Revenue,2024-12,0.0,19950.03
23000,Interest Income,Revenue,2024-12,0.0,46899.77
24000,Other Income,Revenue,2024-12,0.0,7738.53
25000,Salaries Expense,Expense,2024-12,0.0,0.0
26000,Rent Expense,Expense,2024-12,0.0,0.0
27000,Utilities Expense,Expense,2024-12,0.0,0.0
28000,Supplies Expense,Expense,2024-12,0.0,0.0
29000,Insurance Expense,Expense,2024-12,0.0,0.0
30000,Depreciation Expense,Expense,2024-12,0.0,0.0
